paso,x,y,radio,f_net,gap,freno,theta_rad,theta_deg,F_newton_norm,phase_cos_2theta,F_GEO_public_norm,ratio_GEO_Newton,dr_step,dtheta_step,curvature_proxy,E_newton_like,E_GEO_like
8620,0.1766015692683707,0.6070276967661167,0.6319701314449728,1.919136639421639,0.0044162570532716,4.548798354925762e-05,13.854053394922667,793.7787886779588,2.503841850877282,-0.8439309600038817,-2.1130696569087606,-0.8439309600038817,0.002249570223146813,0.018006964226494837,-0.0001282201003340866,-1.5823532636163398,1.335396908829013
8630,0.1662735494055386,0.612277125463747,0.6342263482655763,1.9092076953820023,0.0043183036469389,4.334860047339074e-05,13.871996240013562,794.806837974124,2.486059045806559,-0.8626344299998355,-2.144560127925276,-0.8626344299998355,0.002262268697501346,0.017879053615660112,-0.0001275657923884843,-1.576724150194497,1.360136538570005
8640,0.1558955211597759,0.6173424060315377,0.6364946688399755,1.8992944811898735,0.0042220022331319,4.129883791906551e-05,13.889811502153988,795.8275773056897,2.4683711348460173,-0.8801060151563262,-2.172428283416227,-0.8801060151563261,0.002273786634120256,0.01775183264171787,-0.00012684282910235822,-1.5711050680479701,1.3827390208316077
8650,0.1454710153915181,0.6222236377430297,0.6387739215338168,1.889402593840673,0.0041273876257907,3.933650424888476e-05,13.907499905296998,796.84104815211,2.4507874357051294,-0.8963479364236266,-2.196758260607244,-0.8963479364236266,0.002284142077942697,0.017625367957455396,-0.00012605516788966042,-1.5654991011511727,1.403231888789896
8660,0.1350035196650429,0.6269209902439628,0.6410629529958609,1.87953740338801,0.0040344892895636,3.745928940511615e-05,13.925062238068898,797.8472956983443,2.4333167212118454,-0.9113644264687877,-2.2176382980441445,-0.9113644264687877,0.0022933535205463262,0.017499722305938548,-0.0001252066677128738,-1.5599092028742716,1.4216457560208944
8670,0.1244964772201545,0.6314347009902385,0.6433606285749095,1.8697040552679496,0.0039433316110224,3.566478755453575e-05,13.942499349908875,798.8463686136724,2.4159672333595217,-0.9251616113573001,-2.2351601386013336,-0.9251616113573001,0.002301439842097408,0.017374954622029648,-0.0001243010834390823,-1.554338197870567,1.4380140317361358
8680,0.1139532860626958,0.6357650727150297,0.6456658326800557,1.8599074730976983,0.0038539341705846,3.39505180041349e-05,13.959812147312958,799.8383188364915,2.398746698082788,-0.9377473938013045,-2.249418464516619,-0.9377473938013043,0.002308420256058319,0.017251120139060383,-0.0001233420611432834,-1.5487887842061578,1.4523726459380155
8690,0.1033772981688706,0.6399124709293355,0.6479774690870261,1.8501523619030928,0.0037663120135468,3.231394440816524e-05,13.977001590186996,800.8232013653551,2.381662340634691,-0.949131338408342,-2.260510365003349,-0.949131338408342,0.0023143142566584562,0.01712827049974308,-0.00012233313429099724,-1.5432635357043498,1.4647597851598595
8700,0.0927718187983346,0.6438773214598649,0.6502944611933726,1.8404432117309848,0.0036804759187946,3.075249230240201e-05,13.994068688312444,801.801074056479,2.364720901446128,-0.9593245593111732,-2.268534836673727,-0.9593245593111732,0.0023191415691176664,0.01700645387047839,-0.00012127772073577958,-1.5377649044786164,1.475215639313137
8710,0.0821401059110052,0.6476601080277273,0.6526157522252615,1.8307843016044127,0.0035964326639147,2.926356501436553e-05,14.011014497927953,802.7719974278797,2.3479286523571155,-0.9683396105083928,-2.2735923167249847,-0.9683396105083928,0.0023229221026019875,0.016885715058271522,-0.00012017912047879165,-1.5322952236292833,1.4837821600330507
8720,0.0714853696825628,0.6512613698710261,0.6549403053985766,1.8211797037803208,0.0035141852855834,2.7844558008746936e-05,14.027840118428987,803.7360344702779,2.331291413117901,-0.9761903791976232,-2.2757842485917266,-0.9761903791976232,0.0023256759058744025,0.016766095629520805,-0.00011904051412514605,-1.5268567100805173,1.4905028307939356
8730,0.0608107721136582,0.6546816994140797,0.6572671040370103,1.8116332882716304,0.0034337333342535,2.6492871735624864e-05,14.044546689186994,804.6932504648482,2.314814568066309,-0.9828919823381019,-2.2752126795518115,-0.9828919823381019,0.0023274231255952516,0.01664763403002123,-0.00011786496197796481,-1.5214514675356257,1.4954224489573054
8740,0.0501194267278964,0.6579217399856538,0.6595951516497671,1.802148727597428,0.0033550731222968,2.5205923055423217e-05,14.06113538648903,805.643712807875,2.2985030828957553,-0.9884606666375776,-2.2719798895876657,-0.9884606666375777,0.0023281839672187887,0.016530365705564876,-0.00011665540371552652,-1.5160814895300831,1.4985869198177977
8750,0.0394143983537484,0.6609821835882512,0.6619234719714479,1.7927295017271268,0.0032781979648889,2.3981155319154693e-05,14.077607420598124,806.5874908423216,2.282361521436248,-0.9929137121195627,-2.266188050648118,-0.9929137121195627,0.0023279786584213813,0.016414323222590177,-0.0001154146585928828,-1.5107486625631175,1.5000430626252095
8760,0.0286987029856306,0.663863768720203,0.6642511089666099,1.7833789031865137,0.0032030984130451,2.281604718551572e-05,14.09396403293421,807.524655696311,2.266394062378214,-0.9962693393912353,-2.2579389153257616,-0.9962693393912353,0.002326827414992183,0.01629953638837911,-0.0001141454261190944,-1.5054547692900688,1.4998384284840014
8770,0.017975307719495,0.6665672782520073,0.6665771268014322,1.7741000422956448,0.0031297624783268,2.1708120258034314e-05,14.110206493374882,808.4552801284698,2.250604515876214,-0.9985466206994977,-2.2473335338592224,-0.9985466206994977,0.0023247504091132853,0.016186032370351988,-0.00011285028715679601,-1.500201491759095,1.4980211299643895
8780,0.0072471307583904,0.669093537358098,0.6689006097848365,1.764895852510581,0.0030581758488427,2.065494562590843e-05,14.126336097674914,809.3794383800775,2.234996339976418,-0.9997653948328981,-2.2344719982866055,-0.9997653948328981,0.002321767739945968,0.016073835814065518,-0.00011153170539879298,-1.4949904146771034,1.4946396822010521
8790,-0.0034829585164237,0.6714434115049572,0.6712206622813242,1.755769095842978,0.0029883220962634,1.9654149391594163e-05,14.142354165003013,810.2972060339341,2.2195726568182854,-0.9999461859001484,-2.2194532125137036,-0.9999461859001485,0.0023178994064418923,0.015962968959554402,-0.00011019202917461612,-1.4898230286910876,1.4897428552058605
8800,-0.0142121394130971,0.6736178044962687,0.6735364085977202,1.746722368333465,0.0029201828736542,1.8703417266746854e-05,14.158262035594023,811.2086598798393,2.204336268566884,-0.9991101259917583,-2.2023746870160616,-0.9991101259917583,0.002313165282294638,0.015853451755716286,-0.0001088334935448465,-1.4847007336722386,1.4833795370793263
8810,-0.0249376397396893,0.6756176565755738,0.6758469928459134,1.7377581055566542,0.00285373810401,1.7800498315966083e-05,14.174061068514446,812.1138777865676,2.189289673038086,-0.9972788817096963,-2.1833323568660092,-0.9972788817096963,0.0023075850929409336,0.01574530197246471,-0.0001074582226472387,-1.4796248419914038,1.4755986077710732
8820,-0.0356567355615585,0.6774439425866992,0.6781515787836021,1.7288785881374735,0.0027889661594467,1.694320792505804e-05,14.189752639538952,813.0129385802018,2.1744350789841698,-0.9944745845308692,-2.16242042176213,-0.9944745845308692,0.002301178394524761,0.01563853531042181,-0.00010606823225467465,-1.4745965817755615,1.4664488230118915
8830,-0.0463667509094974,0.6790976701920396,0.680449349634963,1.7200859472602514,0.0027258440310634,1.6129430067343406e-05,14.20533813913529,813.9059219286746,2.1597744210123127,-0.9907197649534284,-2.1397312067377454,-0.9907197649534285,0.0022939645547344623,0.01553316550795536,-0.00010466543250853277,-1.4696171001360567,1.455978708018333
8840,-0.0570650574423276,0.6805798781486085,0.682739507893071,1.7113821701536904,0.0026643474895488,1.5357118938012846e-05,14.220818970554863,814.7929082323698,2.14530937411304,-0.9860372903603184,-2.1153550422350125,-0.9860372903603185,0.0022859627354224754,0.015429204445404743,-0.00010325163080260324,-1.4646874663603289,1.4442364605546587
8850,-0.0677490740675141,0.6818916346416133,0.6850212751058079,1.7027691055364844,0.0026044512366518,1.4624300022760258e-05,14.236196548026099,815.673978520607,2.131041367779916,-0.9804503065219305,-2.0893801622507326,-0.9804503065219304,0.002277191876919993,0.015326662246350153,-0.00010182853478379883,-1.4598086750598231,1.431269862925777
8860,-0.0784162665232093,0.683034035675177,0.687293891646911,1.6942484690098516,0.0025461290476761,1.392907066299244e-05,14.251472295047563,816.5492143538464,2.116971599705593,-0.9739821826490793,-2.0618926192873666,-0.9739821826490793,0.002267670683958889,0.015225547375837145,-0.00010039775544612439,-1.454981649267644,1.417126202468057
8870,-0.0890641469249879,0.6840082035196978,0.6895566164737257,1.6858218483847207,0.0024893539052,1.3269600175901424e-05,14.266647642777773,817.4186977314309,2.103101049042881,-0.9666564598985841,-2.03297621487679,-0.9666564598985841,0.0022574176131128776,0.015125866735457905,-9.896081029392434e-05,-1.450207243480352,1.4018522001020008
8880,-0.0996902732803825,0.684815285215227,0.6918087268731368,1.6774907089326836,0.0024340981242465,1.2644129583644072e-05,14.281724028518479,818.2825110046846,2.0894304892226896,-0.9584968032264691,-2.0027124444838655,-0.9584968032264691,0.0022464508616750756,0.015027625755249296,-9.7519126544654e-05,-1.4454862466390643,1.3854939465113707
8890,-0.110292248974182,0.6854564511301438,0.6940495181970758,1.6692563985510978,0.0023803334691592,1.205097100186755e-05,14.296702894288272,819.1407367951866,2.075960500323572,-0.9495269564778872,-1.9711804556405534,-0.9495269564778872,0.0022347883578882066,0.014930828482368597,-9.607404436851041e-05,-1.4408193850457358,1.3680968455168185
8900,-0.1208677222273114,0.6859328935743154,0.6962783035889132,1.66112015283396,0.002328031262457,1.1488506733882673e-05,14.311585685483216,819.9934579180316,2.062691480990207,-0.9397707005984156,-1.93845701820855,-0.9397707005984156,0.002222447752447343,0.014835477666512276,-9.462682013250401e-05,-1.4362073252111642,1.3497055642182723
8910,-0.1314143855319644,0.6862458254658576,0.6984944137019705,1.6530831000412711,0.0022771624859579,1.0955188112962869e-05,14.326373849621296,820.8407573098901,2.049623659900461,-0.9292518148479905,-1.9046165057178837,-0.9292518148479905,0.002209446411196969,0.014741574842103589,-9.317862963431622e-05,-1.4316506766318593,1.3303639894885089
8920,-0.1419299750655247,0.6863964790505309,0.7006971964113071,1.6451462659606897,0.0022276978744744,1.0449534131556213e-05,14.341068835167423,821.682717961689,2.0367571067827654,-0.9179940408965298,-1.8697308867802358,-0.9179940408965298,0.002195801408946929,0.014649120407243643,-9.173057132594309e-05,-1.427149994493489,1.3101151904105381
8930,-0.1524122700856715,0.6863861046727618,0.7028860165198644,1.6373105786562323,0.0021796080023916,9.970129892668291e-06,14.355672090435784,822.5194228557183,2.0240917429873275,-0.9060210496789844,-1.8338697256279437,-0.9060210496789844,0.002181529524334258,0.014558113699451702,-9.028366949825894e-05,-1.4227057822991116,1.2890013862630019
8940,-0.1628590923089329,0.6862159695972178,0.7050602554599756,1.629576873099697,0.0021328633634446,9.515624915317557e-06,14.370185062566327,823.3509549069893,2.011627351616337,-0.8933564108871411,-1.797100190882376,-0.8933564108871411,0.0021666472356611233,0.014468553068247125,-8.883887742072716e-05,-1.4183184944208889,1.267063919670699
8950,-0.1732683052748235,0.6858873568798275,0.7072193109911866,1.621945895681291,0.002087434444016,9.08473132279373e-06,14.384609196572278,824.1773969086615,1.999363587219679,-0.8800235649757633,-1.7594870717077924,-0.8800235649757633,0.0021511707176424255,0.014380435944610248,-8.739708043803418e-05,-1.4139885385743687,1.2443432345510854
8960,-0.1836378136975744,0.6854015642871036,0.7093625968952605,1.6144183085967536,0.0020432917902724,8.676221939470889e-06,14.398945934455547,824.9988314813581,1.9872999850638984,-0.8660457975616834,-1.7210928005589854,-0.8660457975616834,0.0021351158389979474,0.014293758907371057,-8.595909899788978e-05,-1.4097162782148394,1.2208788585022585
